Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
O00445	SYT5_HUMAN	reviewed	Synaptotagmin-5 (Synaptotagmin V) (SytV)	SYT5	Homo sapiens (Human)	1997-11-01	2019-01-16	calcium ion regulated exocytosis [GO:0017156]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; cellular response to calcium ion [GO:0071277]; chemical synaptic transmission [GO:0007268]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]	6861	5H4Y
Q15274	NADC_HUMAN	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase) (QPRTase)	QPRT	Homo sapiens (Human)	1997-11-01	2019-01-16	NAD biosynthetic process [GO:0009435]; NAD metabolic process [GO:0019674]; protein complex oligomerization [GO:0051259]; quinolinate catabolic process [GO:0034213]	23475	2JBM
Q13416	ORC2_HUMAN	reviewed	Origin recognition complex subunit 2	ORC2 ORC2L	Homo sapiens (Human)	1997-11-01	2019-01-16	DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of transcription by RNA polymerase II [GO:0000122]	4999	5C8H
Q12860	CNTN1_HUMAN	reviewed	Contactin-1 (Glycoprotein gp135) (Neural cell surface protein F3)	CNTN1	Homo sapiens (Human)	1997-11-01	2019-01-16	cell adhesion [GO:0007155]; cerebellum development [GO:0021549]; neuron projection development [GO:0031175]; Notch signaling pathway [GO:0007219]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron projection development [GO:0010976]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of sodium ion transport [GO:0010765]	1272	2EE2
Q93099	HGD_HUMAN	reviewed	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	HGD HGO	Homo sapiens (Human)	1997-11-01	2019-01-16	cellular amino acid metabolic process [GO:0006520]; L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]	3081	1EYB
Q15121	PEA15_HUMAN	reviewed	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)	PEA15	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of MAPK activity [GO:0000187]; apoptotic process [GO:0006915]; carbohydrate transport [GO:0008643]; DNA damage checkpoint [GO:0000077]; MAPK cascade [GO:0000165]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of glucose import [GO:0046325]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; response to morphine [GO:0043278]	8682	4IZA
Q14690	RRP5_HUMAN	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	PDCD11 KIAA0185	Homo sapiens (Human)	1997-11-01	2019-01-16	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	22984	1WI5
Q14240	IF4A2_HUMAN	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	1997-11-01	2019-01-16	cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of RNA-directed 5'-3' RNA polymerase activity [GO:1900260]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]; viral process [GO:0016032]	1974	3BOR
Q14739	LBR_HUMAN	reviewed	Lamin-B receptor (Integral nuclear envelope inner membrane protein) (LMN2R)	LBR	Homo sapiens (Human)	1997-11-01	2019-01-16	cholesterol biosynthetic process [GO:0006695]; sterol biosynthetic process [GO:0016126]	3930	2DIG
O00755	WNT7A_HUMAN	reviewed	Protein Wnt-7a	WNT7A	Homo sapiens (Human)	1997-11-01	2019-01-16	angiogenesis [GO:0001525]; asymmetric protein localization involved in cell fate determination [GO:0045167]; axonogenesis [GO:0007409]; canonical Wnt signaling pathway [GO:0060070]; cartilage condensation [GO:0001502]; cell fate commitment [GO:0045165]; cell proliferation in forebrain [GO:0021846]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system vasculogenesis [GO:0022009]; cerebellar granule cell differentiation [GO:0021707]; chondrocyte differentiation [GO:0002062]; dendritic spine morphogenesis [GO:0060997]; dorsal/ventral pattern formation [GO:0009953]; embryonic axis specification [GO:0000578]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; establishment of cell polarity [GO:0030010]; excitatory synapse assembly [GO:1904861]; lens fiber cell development [GO:0070307]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neurogenesis [GO:0050768]; neuron differentiation [GO:0030182]; neurotransmitter secretion [GO:0007269]; oviduct development [GO:0060066]; positive regulation of cellular protein metabolic process [GO:0032270]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of excitatory synapse assembly [GO:1904891]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein localization to presynapse [GO:1905386]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynapse assembly [GO:0099068]; presynapse assembly [GO:0099054]; regulation of axon diameter [GO:0031133]; regulation of postsynapse organization [GO:0099175]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; secondary palate development [GO:0062009]; sex differentiation [GO:0007548]; skeletal muscle satellite cell activation [GO:0014719]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; stem cell development [GO:0048864]; synaptic vesicle recycling [GO:0036465]; uterus morphogenesis [GO:0061038]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing, spreading of epidermal cells [GO:0035313]	7476	4UZQ
Q92609	TBCD5_HUMAN	reviewed	TBC1 domain family member 5	TBC1D5 KIAA0210	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of GTPase activity [GO:0090630]; autophagy [GO:0006914]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; positive regulation of receptor internalization [GO:0002092]; response to starvation [GO:0042594]; retrograde transport, endosome to Golgi [GO:0042147]	9779	5GTU
Q13951	PEBB_HUMAN	reviewed	Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)	CBFB	Homo sapiens (Human)	1997-11-01	2019-01-16	cell maturation [GO:0048469]; definitive hemopoiesis [GO:0060216]; lymphocyte differentiation [GO:0030098]; myeloid cell differentiation [GO:0030099]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoblast differentiation [GO:0001649]; positive regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043378]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein polyubiquitination [GO:0000209]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of bicellular tight junction assembly [GO:2000810]; regulation of cytokine-mediated signaling pathway [GO:0001959]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of keratinocyte differentiation [GO:0045616]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of myeloid cell differentiation [GO:0045637]; regulation of regulatory T cell differentiation [GO:0045589]; regulation of Wnt signaling pathway [GO:0030111]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]	865	1CL3
Q16828	DUS6_HUMAN	reviewed	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	DUSP6 MKP3 PYST1	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of MAPK activity [GO:0000187]; cell differentiation [GO:0030154]; inactivation of MAPK activity [GO:0000188]; MAPK cascade [GO:0000165]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; peptidyl-tyrosine dephosphorylation [GO:0035335]; positive regulation of apoptotic process [GO:0043065]; protein dephosphorylation [GO:0006470]; regulation of heart growth [GO:0060420]; response to drug [GO:0042493]; response to growth factor [GO:0070848]; response to nitrosative stress [GO:0051409]; response to organic cyclic compound [GO:0014070]	1848	1HZM
Q16829	DUS7_HUMAN	reviewed	Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST2)	DUSP7 PYST2	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of MAPK activity [GO:0000187]; MAPK cascade [GO:0000165]; negative regulation of MAP kinase activity [GO:0043407]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470]	1849	4Y2E
Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	E2F2	Homo sapiens (Human)	1997-11-01	2019-01-16	cell cycle [GO:0007049]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; lens fiber cell apoptotic process [GO:1990086]; negative regulation of sprouting angiogenesis [GO:1903671]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]; transcription initiation from RNA polymerase II promoter [GO:0006367]	1870	1N4M
Q13011	ECH1_HUMAN	reviewed	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	ECH1	Homo sapiens (Human)	1997-11-01	2019-01-16	fatty acid beta-oxidation [GO:0006635]; protein targeting to peroxisome [GO:0006625]	1891	2VRE
Q13740	CD166_HUMAN	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	ALCAM MEMD	Homo sapiens (Human)	1997-11-01	2019-01-16	adaptive immune response [GO:0002250]; axon extension involved in axon guidance [GO:0048846]; cell adhesion [GO:0007155]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; motor neuron axon guidance [GO:0008045]; neuron projection extension [GO:1990138]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]	214	5A2F
Q14444	CAPR1_HUMAN	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105	Homo sapiens (Human)	1997-11-01	2019-01-16	negative regulation of translation [GO:0017148]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of dendritic spine morphogenesis [GO:0061003]	4076	4WBE
Q12929	EPS8_HUMAN	reviewed	Epidermal growth factor receptor kinase substrate 8	EPS8	Homo sapiens (Human)	1997-11-01	2019-01-16	actin crosslink formation [GO:0051764]; actin cytoskeleton reorganization [GO:0031532]; actin filament bundle assembly [GO:0051017]; actin polymerization-dependent cell motility [GO:0070358]; adult locomotory behavior [GO:0008344]; barbed-end actin filament capping [GO:0051016]; behavioral response to ethanol [GO:0048149]; cell proliferation [GO:0008283]; cellular response to leukemia inhibitory factor [GO:1990830]; dendritic cell migration [GO:0036336]; epidermal growth factor receptor signaling pathway [GO:0007173]; exit from mitosis [GO:0010458]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of actin filament length [GO:0030832]; regulation of cell shape [GO:0008360]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165]	2059	2E8M
Q14554	PDIA5_HUMAN	reviewed	Protein disulfide-isomerase A5 (EC 5.3.4.1) (Protein disulfide isomerase-related protein)	PDIA5 PDIR	Homo sapiens (Human)	1997-11-01	2019-01-16	cell redox homeostasis [GO:0045454]; IRE1-mediated unfolded protein response [GO:0036498]; oxidation-reduction process [GO:0055114]; protein folding [GO:0006457]	10954	4I6X
Q15672	TWST1_HUMAN	reviewed	Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist)	TWIST1 BHLHA38 TWIST	Homo sapiens (Human)	1997-11-01	2019-01-16	aortic valve morphogenesis [GO:0003180]; cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]; cell proliferation involved in heart valve development [GO:2000793]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hypoxia [GO:0071456]; cranial suture morphogenesis [GO:0060363]; cytokine-mediated signaling pathway [GO:0019221]; embryonic camera-type eye formation [GO:0060900]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; endocardial cushion morphogenesis [GO:0003203]; eyelid development in camera-type eye [GO:0061029]; in utero embryonic development [GO:0001701]; mitral valve morphogenesis [GO:0003183]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone acetylation [GO:0035067]; negative regulation of histone phosphorylation [GO:0033128]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of oxidative phosphorylation uncoupler activity [GO:2000276]; negative regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035359]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of skeletal muscle tissue development [GO:0048642]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; neural tube closure [GO:0001843]; neuron migration [GO:0001764]; odontogenesis [GO:0042476]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; outer ear morphogenesis [GO:0042473]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell motility [GO:2000147]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation [GO:2000802]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of bone mineralization [GO:0030500]; rhythmic process [GO:0048511]; roof of mouth development [GO:0060021]	7291	2MJV
